var15,ind_var5,ind_var8_0,ind_var12_0,ind_var13_0,ind_var30,num_var30_0,num_var30,num_var42,saldo_var30,var36,TARGET
24,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,90.0,99,0
28,0,1,0,0,1,3,3,3,780.0,1,0
35,0,0,0,0,0,0,0,0,0.0,3,0
24,1,0,0,0,1,3,3,3,3.0,3,0
25,0,0,0,0,0,3,0,0,0.0,99,0
51,0,0,1,0,1,6,3,3,124740.72,1,0
72,0,0,0,0,0,3,0,0,0.0,99,0
25,1,0,0,0,1,3,3,3,90.0,3,0
23,1,0,0,0,1,3,3,3,3.0,3,0
24,1,0,0,0,1,3,3,3,90.0,99,0
45,1,0,0,0,1,3,3,3,182.55,1,1
23,0,0,0,0,0,3,0,0,0.0,99,0
27,0,0,0,0,0,3,0,0,0.0,99,0
36,0,0,1,1,1,9,3,0,120000.0,3,0
23,1,0,0,0,1,3,3,3,3.0,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
26,1,0,0,0,1,3,3,3,3.0,99,0
23,1,0,0,0,1,3,3,3,30.0,2,0
44,0,0,0,0,0,3,0,0,0.0,99,0
68,1,0,0,0,1,3,3,3,12.03,2,0
5,0,0,1,0,1,3,3,3,2287.59,1,0
25,1,0,0,0,1,3,3,3,3090.0,1,0
25,1,0,0,0,1,3,3,3,24.0,1,0
72,1,0,0,0,1,3,3,3,4287.0,1,0
23,1,0,0,0,1,3,3,3,90.0,99,0
25,1,0,0,0,1,3,3,3,3.0,3,0
23,0,0,0,0,0,3,0,0,0.0,3,0
56,0,0,0,0,0,3,0,0,0.0,99,0
25,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,90.0,3,0
23,1,0,0,0,1,3,3,3,3.0,99,0
33,1,0,0,0,1,3,3,3,90.0,3,0
23,1,0,0,0,1,3,3,3,35.34,1,0
23,1,0,0,0,1,3,3,3,90.0,99,0
77,0,0,0,1,1,6,3,0,300000.0,3,0
28,1,0,0,0,1,3,3,3,15.0,99,0
29,1,0,0,0,1,3,3,3,26.4,2,0
42,1,0,0,0,1,3,3,3,3.0,3,0
25,1,0,0,0,1,3,3,3,3.0,3,0
38,0,0,0,0,0,3,0,0,0.0,99,0
45,0,0,0,0,0,3,0,0,0.0,99,0
30,1,0,0,0,1,3,3,3,3.0,3,0
40,1,0,0,0,1,3,3,3,5220.0,1,0
76,0,0,1,1,1,12,6,3,90019.29,2,0
37,1,0,0,0,1,3,3,3,187.08,1,0
23,1,0,0,0,1,3,3,3,3.0,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
55,0,1,0,0,1,3,3,3,14340.6,1,0
23,0,0,0,0,0,3,0,0,0.0,99,0
54,1,0,0,0,1,3,3,3,3181.17,1,0
35,1,0,0,0,1,3,3,3,2160.0,1,0
30,1,0,0,0,1,3,3,3,3.0,3,0
42,1,0,0,1,1,6,6,3,90060.0,1,1
23,0,0,0,0,0,3,0,0,0.0,99,0
28,1,0,0,0,1,3,3,3,30.0,99,0
23,1,0,0,0,1,3,3,3,15.0,2,0
23,1,0,0,0,1,3,3,3,90.0,3,0
31,0,0,0,0,0,0,0,0,0.0,99,0
41,1,0,0,0,1,3,3,3,12150.0,2,0
28,1,0,0,0,1,3,3,3,660.0,1,0
24,1,0,0,0,1,3,3,3,3.0,99,0
63,0,0,0,1,1,6,3,0,105000.0,2,0
23,0,0,0,0,0,3,0,0,0.0,99,0
38,1,0,0,0,1,3,3,3,3.0,99,0
43,0,0,0,1,1,6,3,0,210000.0,3,0
45,0,0,1,0,1,6,3,3,300401.55,2,0
23,1,0,0,0,1,3,3,3,3.0,3,0
27,1,0,0,0,1,3,3,3,3.0,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
32,1,0,0,0,1,3,3,3,839.91,1,0
57,1,0,0,0,1,3,3,3,915.0,1,0
36,0,0,0,0,0,3,0,0,0.0,99,0
36,1,0,1,0,1,6,3,3,15.0,3,0
23,1,0,0,0,1,3,3,3,3.0,3,0
28,0,0,0,0,0,3,0,0,0.0,99,0
34,1,0,0,0,1,3,3,3,21.3,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
55,1,0,0,1,1,6,6,3,1800.0,2,0
80,1,0,0,0,1,3,3,3,216.3,1,0
37,1,0,0,1,1,6,6,3,159061.5,3,0
51,1,0,0,0,1,3,3,3,90.0,3,0
29,1,0,0,0,1,3,3,3,3.6,3,0
31,1,0,0,0,1,3,3,3,799.83,99,0
26,1,0,0,0,1,3,3,3,90.0,99,0
25,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,90.0,3,0
38,0,0,0,0,0,3,0,0,0.0,99,0
55,0,0,0,0,0,3,0,0,0.0,99,0
60,0,0,1,1,1,9,3,0,75750.0,2,0
24,1,0,0,0,1,3,3,3,90.0,3,0
26,1,0,0,0,1,3,3,3,93.0,3,0
31,1,0,0,0,1,3,3,3,80.91,99,0
31,0,0,0,0,0,3,0,0,0.0,99,1
62,0,0,0,0,0,3,0,0,0.0,99,1
27,1,0,0,0,1,3,3,3,3015.0,99,0
56,1,0,0,0,1,3,3,3,3433.65,2,0
52,1,0,0,0,1,3,3,3,45006.0,2,0
24,1,0,0,0,1,3,3,3,1143.27,1,0
29,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,30.0,3,0
23,1,0,0,0,1,3,3,3,0.3,3,0
32,0,0,0,0,0,3,0,0,0.0,2,0
38,0,0,1,1,1,9,3,0,30000.0,3,0
24,1,0,0,0,1,3,3,3,3.0,3,0
24,1,0,0,0,1,3,3,3,3.0,3,1
23,1,0,0,0,1,3,3,3,3.6,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,90.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
57,0,0,0,0,0,3,0,0,0.0,99,1
25,0,0,0,0,0,3,0,0,0.0,99,0
30,1,0,0,0,1,3,3,3,90.0,99,0
36,1,0,0,0,1,3,3,3,8451.96,1,0
22,1,0,0,0,1,3,3,3,90.0,0,0
24,1,0,0,0,1,3,3,3,3.0,3,0
61,1,0,0,0,1,3,3,3,573.21,1,0
23,1,0,0,0,1,3,3,3,3.0,3,0
32,0,0,0,0,0,3,0,0,0.0,99,1
30,0,0,0,0,0,3,0,0,0.0,99,0
31,0,0,0,0,0,3,0,0,0.0,99,0
26,1,0,0,0,1,3,3,3,153.0,2,0
27,1,0,0,0,1,3,3,3,3.0,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
23,0,1,0,0,0,3,0,0,0.0,99,0
32,1,0,0,0,1,3,3,3,3.0,99,0
23,1,0,0,0,1,3,3,3,3.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,3.0,3,0
71,0,1,0,0,1,3,3,3,2090.4,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,3.0,99,0
36,1,0,1,1,1,9,6,3,19590.0,3,0
29,0,0,0,0,0,3,0,0,0.0,99,0
25,0,1,0,0,1,3,3,3,54.15,3,0
45,0,0,0,0,0,3,0,0,0.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
88,0,0,1,0,1,6,3,3,131697.09,1,0
24,1,0,0,0,1,3,3,3,3.0,3,0
45,0,0,1,0,1,6,3,3,165851.34,1,0
39,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,90.0,99,0
59,1,0,0,0,1,3,3,3,322.74,1,0
36,1,0,0,0,1,3,3,3,90.0,99,0
23,1,0,0,0,1,3,3,3,3.0,99,0
30,1,0,0,0,1,3,3,3,137.22,2,0
23,1,0,0,0,1,3,3,3,30.0,3,0
53,1,0,0,1,1,6,6,3,591000.0,2,0
23,1,0,0,0,1,3,3,3,90.0,3,0
33,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,56.55,3,0
23,1,0,0,0,1,3,3,3,90.0,3,0
44,1,0,0,0,1,3,3,3,199.44,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
24,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,3.0,3,0
25,1,0,0,0,1,3,3,3,3.0,3,0
44,1,0,0,0,1,3,3,3,60.0,3,0
37,0,0,0,0,0,3,0,0,0.0,99,0
31,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,60.0,99,0
38,1,0,0,0,1,3,3,3,3.0,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
55,0,1,0,0,1,3,3,3,10651.08,2,0
24,0,0,0,0,0,3,0,0,0.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
60,1,0,0,0,1,3,3,3,18.57,2,0
28,0,0,0,0,0,3,0,0,0.0,99,0
34,1,0,0,0,1,3,3,3,1500.0,2,0
64,1,0,0,0,1,3,3,3,300.0,3,0
26,1,0,0,0,1,3,3,3,3.0,3,0
25,1,0,0,0,1,3,3,3,3.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,30.0,99,0
24,1,0,0,0,1,3,3,3,120.0,99,0
33,0,0,0,1,1,6,3,0,93000.0,3,0
34,1,0,0,0,1,3,3,3,45.0,2,0
23,0,0,0,0,0,3,0,0,0.0,99,0
27,1,0,0,0,1,3,3,3,1353.93,99,0
24,1,0,0,0,1,3,3,3,3.0,3,0
36,1,0,0,0,1,3,3,3,600.54,1,0
100,0,0,0,0,0,3,0,0,0.0,99,0
38,1,0,0,0,1,3,3,3,1.5,3,0
24,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,90.0,99,0
31,1,0,0,0,1,3,3,3,1514.01,1,0
28,0,0,0,0,0,3,0,0,0.0,99,1
28,0,0,0,0,0,3,0,0,0.0,99,0
37,1,0,0,0,1,3,3,3,5070.0,2,0
43,1,0,0,0,1,3,3,3,4175.7,1,0
52,0,0,0,0,0,3,0,0,0.0,99,0
22,1,0,0,0,1,3,3,3,150.0,0,0
27,1,0,0,0,1,3,3,3,18.0,1,0
22,1,0,0,0,1,3,3,3,90.0,99,0
32,1,0,0,0,1,3,3,3,125.01,1,0
30,0,0,0,0,0,3,0,0,0.0,99,1
55,0,0,0,0,0,3,0,0,0.0,99,0
38,0,0,0,0,0,3,0,0,0.0,99,0
27,0,0,0,0,0,3,0,0,0.0,99,0
24,1,0,0,0,1,3,3,3,3.0,3,0
43,1,0,0,0,1,3,3,3,210.0,2,0
23,1,0,0,0,1,3,3,3,3.0,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
25,1,0,0,0,1,3,3,3,233.64,1,0
60,1,0,1,1,1,9,6,3,60003.0,3,0
51,1,0,0,0,1,3,3,3,37171.32,1,0
74,1,0,1,1,1,12,9,6,300250.44,1,0
23,0,0,0,0,0,3,0,0,0.0,99,0
27,1,0,0,0,1,3,3,3,15.0,3,0
26,1,0,0,0,1,3,3,3,480.6,1,0
23,1,0,0,0,1,3,3,3,450.0,2,0
25,1,0,0,0,1,3,3,3,3.0,3,0
32,0,0,0,1,1,6,3,0,30000.0,2,0
32,1,0,0,0,1,3,3,3,3.0,3,0
26,1,0,0,0,1,3,3,3,3.0,99,0
24,1,0,0,0,1,3,3,3,183.0,3,0
23,1,0,0,0,1,3,3,3,30.0,99,0
22,1,0,0,0,1,3,3,3,90.0,0,0
86,1,0,0,1,1,6,6,3,75003.0,2,0
31,0,0,0,0,0,3,0,0,0.0,99,0
39,1,0,0,0,1,3,3,3,60.0,2,0
25,1,0,0,0,1,3,3,3,3.0,3,0
63,1,0,0,0,1,3,3,3,15.0,99,0
59,0,0,0,1,1,6,3,0,75000.0,3,0
44,1,0,0,1,1,6,6,3,300117.78,2,0
40,0,1,0,0,0,3,0,0,0.0,99,0
40,1,0,0,0,1,3,3,3,741.09,1,0
44,1,0,0,0,1,3,3,3,1.2,3,1
30,1,0,0,0,1,3,3,3,390.0,2,0
28,1,0,0,0,1,3,3,3,3.0,3,0
34,1,0,0,0,1,3,3,3,25332.66,1,0
52,1,0,0,0,1,3,3,3,1134.39,2,0
52,1,0,0,0,1,3,3,3,11249.13,1,0
23,1,0,0,0,1,3,3,3,90.0,99,0
23,1,0,0,0,1,3,3,3,90.0,3,0
24,1,0,0,0,1,3,3,3,90.0,3,0
28,1,0,0,0,1,3,3,3,30.9,3,0
23,1,0,0,0,1,3,3,3,3.0,2,0
36,1,0,0,0,1,3,3,3,1.2,1,1
27,1,0,0,0,1,3,3,3,3.0,3,0
28,1,0,0,0,1,3,3,3,90.0,3,0
30,0,0,0,0,0,3,0,0,0.0,99,0
29,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,105.0,3,0
25,1,0,0,0,1,3,3,3,2.13,1,0
25,0,0,0,0,0,3,0,0,0.0,99,0
30,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,3.0,3,0
27,1,0,0,0,1,3,3,3,3.0,3,0
24,1,0,0,0,1,3,3,3,3.0,99,0
37,1,0,0,0,1,3,3,3,25.5,1,0
24,1,0,0,0,1,3,3,3,3.0,3,0
38,0,0,0,0,0,3,0,0,0.0,99,1
25,1,0,0,0,1,3,3,3,15.0,99,0
33,0,1,0,0,1,3,3,3,1050.0,1,0
73,1,0,0,0,1,3,3,3,30.0,3,0
24,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,30.0,3,0
29,1,0,0,0,1,3,3,3,3.0,3,0
35,1,0,0,0,1,3,3,3,60.42,3,0
37,1,0,0,0,1,3,3,3,750.0,2,0
23,1,0,0,0,1,3,3,3,379.71,1,0
28,1,0,0,0,1,3,3,3,3.0,99,0
36,0,0,0,0,0,3,0,0,0.0,99,1
30,1,0,0,0,1,3,3,3,18.57,99,0
80,0,0,0,0,0,0,0,0,0.0,99,0
50,0,0,1,0,1,6,3,3,256380.63,2,0
25,1,0,0,0,1,3,3,3,3.0,3,0
77,0,0,1,0,1,6,3,3,139052.76,1,0
28,0,0,0,0,0,3,0,0,0.0,99,0
24,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,3.0,3,0
37,1,0,0,0,1,3,3,3,976.95,2,0
35,0,0,0,0,0,3,0,0,0.0,99,0
36,1,0,0,0,1,3,3,3,60.0,3,0
48,0,1,1,0,1,6,6,6,337415.49,1,0
23,1,0,0,0,1,3,3,3,30.0,99,0
72,1,0,0,0,1,3,3,3,0.54,2,0
30,1,0,0,0,1,3,3,3,3.0,99,0
39,1,0,0,1,1,6,6,3,118500.0,2,0
45,1,0,1,0,1,6,6,6,24074.4,1,0
22,1,0,0,0,1,3,3,3,90.0,99,0
25,1,0,0,0,1,3,3,3,74.01,1,0
34,1,0,1,0,1,6,6,6,96003.0,1,0
26,1,0,0,0,1,3,3,3,3.0,3,0
24,1,0,0,0,1,3,3,3,3.0,3,0
24,1,0,0,0,1,3,3,3,30.0,99,0
23,1,0,0,0,1,3,3,3,90.0,3,0
38,1,0,1,0,1,6,6,6,21043.17,1,0
38,1,0,0,0,1,3,3,3,24015.0,2,0
34,0,0,0,0,0,3,0,0,0.0,99,1
23,1,0,0,0,1,3,3,3,15.0,3,0
51,1,0,0,0,1,3,3,3,105.0,1,1
23,1,0,0,0,1,3,3,3,39.72,1,0
27,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,3.0,99,0
25,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,3.12,1,0
32,1,0,0,0,1,3,3,3,620.25,2,0
25,1,0,0,0,1,3,3,3,90.0,3,0
34,1,0,0,0,1,3,3,3,3.0,99,0
48,1,0,1,1,1,9,6,3,195030.0,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
43,0,0,0,1,1,6,3,0,169500.0,2,0
45,1,0,0,0,1,3,3,3,2271.84,1,0
23,0,0,0,0,0,3,0,0,0.0,99,0
34,0,0,0,0,0,3,0,0,0.0,99,0
50,1,0,0,0,1,3,3,3,90.0,3,0
29,1,0,0,0,1,3,3,3,48.36,99,0
41,1,0,0,0,1,3,3,3,2760.0,1,0
39,0,0,1,0,1,6,3,3,249600.66,2,0
30,1,0,0,0,1,3,3,3,3.0,99,0
37,1,0,0,0,1,3,3,3,1200.27,99,0
46,1,0,1,0,1,6,6,6,101202.21,1,0
29,1,0,0,0,1,3,3,3,3.0,3,0
31,1,0,0,0,1,3,3,3,1672.53,1,0
30,0,1,0,0,1,3,3,3,3897.3,99,0
24,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,3.0,99,0
26,1,0,0,0,1,3,3,3,3.0,99,0
27,1,0,0,0,1,3,3,3,3.0,3,1
23,1,0,0,0,1,3,3,3,90.0,99,0
52,1,0,0,0,1,3,3,3,356.7,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
34,1,0,0,0,1,3,3,3,167.07,1,0
51,1,0,1,0,1,6,6,6,300667.53,2,0
23,0,0,0,0,0,3,0,0,0.0,99,0
24,1,0,0,0,1,3,3,3,600.0,2,0
24,1,0,0,0,1,3,3,3,90.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
45,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,60.0,3,0
35,1,0,0,0,1,3,3,3,1053.0,99,0
41,1,0,0,0,1,3,3,3,260.34,1,0
23,1,0,0,0,1,3,3,3,3.0,99,0
56,0,0,0,0,0,3,0,0,0.0,99,1
41,1,0,1,0,1,6,6,6,111115.8,1,0
68,0,1,1,1,1,9,9,6,112969.95,3,0
38,1,0,0,0,1,3,3,3,3.0,3,0
35,1,0,0,0,1,3,3,3,90.0,3,0
42,1,0,0,0,1,3,3,3,255.0,1,0
23,1,0,0,0,1,3,3,3,3.0,3,0
55,0,0,1,1,1,9,3,0,174000.0,2,0
29,1,0,0,0,1,3,3,3,261.24,1,0
35,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,3.0,3,0
29,0,0,0,0,0,6,0,0,0.0,3,0
44,0,0,1,0,1,6,3,3,226813.86,1,0
51,1,0,0,0,1,3,3,3,119.88,1,0
23,1,0,0,0,1,3,3,3,3.0,99,0
28,1,0,0,0,1,3,3,3,3.0,3,0
24,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,35.49,3,0
23,1,0,0,0,1,3,3,3,33.36,99,0
25,1,0,0,0,1,3,3,3,3.0,3,0
38,1,0,0,0,1,3,3,3,30.0,3,0
49,1,0,0,0,1,3,3,3,5571.93,1,0
68,1,0,0,0,1,3,3,3,3.0,3,0
28,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,3.0,2,0
29,1,0,0,0,1,3,3,3,3.0,99,0
24,1,0,0,0,1,3,3,3,3.0,3,0
30,0,0,0,0,0,3,0,0,0.0,99,0
25,1,0,0,0,1,3,3,3,3.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
53,0,0,1,0,1,6,3,3,82586.88,1,0
25,0,0,0,0,0,3,0,0,0.0,99,0
65,1,0,0,0,1,3,3,3,3.0,1,0
48,1,0,0,0,1,3,3,3,34.35,1,0
23,1,0,0,0,1,3,3,3,360.0,1,0
23,1,0,0,0,1,3,3,3,150.0,3,0
47,1,0,0,1,1,6,3,3,60000.0,1,0
36,1,0,0,0,1,3,3,3,2267.22,99,0
32,1,0,0,0,1,3,3,3,450.0,3,0
28,1,0,0,0,1,3,3,3,3.0,3,0
25,1,0,0,0,1,3,3,3,90.0,99,0
43,0,0,0,0,0,3,0,0,0.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
35,1,0,0,0,1,3,3,3,90.0,2,0
24,1,0,0,0,1,3,3,3,3.0,3,0
25,1,0,0,0,1,3,3,3,3.0,3,0
57,1,0,1,0,1,6,6,6,49412.64,1,0
26,1,0,0,0,1,3,3,3,15.0,99,0
23,1,0,0,0,1,3,3,3,3.0,3,0
25,1,0,0,0,1,3,3,3,3.0,3,0
34,0,1,0,0,1,3,3,3,3822.69,3,0
24,1,0,0,0,1,3,3,3,3.0,3,0
72,0,0,1,1,1,9,3,0,21000.0,3,0
51,0,0,1,1,1,9,3,0,450000.0,2,0
34,1,0,0,0,1,3,3,3,12981.0,2,0
31,1,0,0,0,1,3,3,3,3.0,3,0
30,0,0,0,0,0,3,0,0,0.0,99,1
23,0,0,0,0,0,3,0,0,0.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,3.0,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
25,0,0,0,0,0,3,0,0,0.0,99,0
30,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,3.0,99,0
27,1,0,0,0,1,3,3,3,3.0,3,0
30,1,0,0,0,1,3,3,3,12030.0,1,0
23,1,0,0,0,1,3,3,3,3.0,3,0
46,1,0,0,0,1,3,3,3,2729.25,1,0
24,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,3.0,99,0
51,0,1,0,0,0,3,0,0,0.0,99,0
31,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,3.0,99,0
23,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,1.56,99,0
44,1,0,0,0,1,3,3,3,490.41,1,0
23,1,0,0,0,1,3,3,3,90.0,3,0
36,0,0,0,0,0,3,0,0,0.0,99,0
25,1,0,0,0,1,3,3,3,3.0,2,0
23,1,0,0,0,1,3,3,3,210.0,1,0
23,1,0,0,0,1,3,3,3,90.0,99,0
68,0,0,0,0,0,3,0,0,0.0,99,0
48,0,0,0,0,0,3,0,0,0.0,99,1
23,1,0,0,0,1,3,3,3,3.0,3,0
30,1,0,0,0,1,3,3,3,90.0,3,0
23,1,0,0,0,1,3,3,3,840.0,3,0
27,0,0,0,0,0,3,0,0,0.0,99,0
54,0,0,0,0,0,3,0,0,0.0,99,1
23,0,0,0,0,0,3,0,0,0.0,99,0
51,1,0,1,0,1,6,6,6,30069.87,3,0
48,1,0,0,0,1,3,3,3,90.0,99,0
21,0,0,1,0,1,3,3,3,5701.98,1,0
26,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,30.0,3,0
75,0,0,0,0,0,3,0,0,0.0,99,0
31,0,0,0,0,0,3,0,0,0.0,99,0
31,1,0,0,0,1,3,3,3,12.0,3,0
23,1,0,0,0,1,3,3,3,90.0,99,0
42,1,0,0,0,1,3,3,3,3.0,99,0
42,1,0,0,0,1,3,3,3,2025.0,99,0
26,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,3.0,3,0
44,0,0,0,0,0,3,0,0,0.0,99,0
51,1,0,0,0,1,3,3,3,32485.83,1,0
31,1,0,0,0,1,3,3,3,9150.0,2,0
25,0,0,0,0,0,3,0,0,0.0,99,0
23,1,0,0,0,1,3,3,3,3.0,3,0
23,1,0,0,0,1,3,3,3,3.0,3,0
23,0,0,0,0,0,3,0,0,0.0,99,0
22,1,0,0,0,1,3,3,3,90.0,0,0
27,0,0,0,0,0,3,0,0,0.0,99,0
41,0,0,0,0,0,3,0,0,0.0,99,0
27,1,0,0,0,1,3,3,3,63.0,2,0
40,0,0,0,1,1,6,3,0,105060.0,2,0
31,1,0,0,0,1,3,3,3,15.0,3,0
55,1,0,0,0,1,3,3,3,1556.4,1,0
29,1,0,0,0,1,3,3,3,3.0,3,0
48,1,0,0,0,1,3,3,3,31560.63,2,0
